Index,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12
GREECE.INDPROD.ELECTR    ,4964,4154,4240,3896,4050,4224,5354,5346,4217,4349,3920,4383,4427,3989,4168,3494,3695,3659,5038,4523,4111,3686,4072,4357,4465,4174,3837,3407,3735,4287,5191,4719,3977,3955,3834,4502
GREECE.IMPORTS.ELECTR    ,524,554,728,706,630,889,964,971,770,587,612,581,581,648,647,563,469,632,751,726,462,476,601,624,535,463,537,518,341,515,784,594,457,366,421,415
GREECE.EXPORTS.ELECTR    ,363,234,229,78,2,62,114,358,302,382,294,391,351,319,433,291,393,252,272,332,267,286,396,355,375,357,401,441,300,239,305,343,270,344,392,355
GREECE.CONSUME.ELECTR    ,5125,4474,4739,4524,4678,5051,6204,5959,4685,4554,4238,4573,4657,4318,4382,3766,3771,4039,5517,4917,4306,3876,4277,4626,4625,4280,3973,3484,3776,4563,5670,4970,4164,3977,3863,4562
HUNGARY.INDPROD.THERMAL  ,1896,1715,1769,1435,1436,1414,1394,1225,1379,1681,1840,1923,1893,1674,1777,1402,1393,1337,1289,1241,1353,1397,1717,1685,1713,1872,1314,1080,1142,1184,1296,1306,1236,1226,1350,1420
HUNGARY.INDPROD.NUCLEAR  ,1428,1293,1291,1082,1063,1031,1045,1381,1297,1177,1276,1436,1422,1293,1196,1024,1045,1231,1038,1365,1100,1209,1380,1431,1431,1338,1415,1029,1126,1243,1027,1056,1026,1413,1304,1428
HUNGARY.INDPROD.HYDRO    ,10,17,13,13,13,6,15,20,24,28,18,6,6,20,17,19,24,20,26,25,16,15,12,19,21,13,19,15,23,21,18,12,9,12,22,21
HUNGARY.INDPROD.GEOTHERM ,28,49,46,32,43,49,33,28,42,49,56,72,45,39,65,68,54,60,59,37,41,52,29,63,90,76,82,63,54,41,41,36,30,52,59,62
HUNGARY.INDPROD.ELECTR   ,3362,3074,3119,2562,2555,2499,2487,2654,2741,2935,3189,3436,3366,3025,3055,2513,2516,2647,2413,2668,2511,2673,3137,3198,3254,3299,2830,2187,2346,2489,2382,2409,2302,2704,2734,2932
HUNGARY.IMPORTS.ELECTR   ,680,652,638,786,775,875,1230,944,885,1126,702,604,832,947,956,1037,1209,961,1487,1327,1384,1450,1456,1618,1724,1621,1473,1461,1319,1283,1574,1558,1294,1268,1192,1197
HUNGARY.EXPORTS.ELECTR   ,513,479,380,235,168,161,345,392,402,652,526,449,516,612,514,398,470,408,544,740,640,708,1119,1353,1404,1395,930,511,511,569,606,721,458,655,576,667
HUNGARY.CONSUME.ELECTR   ,3529,3247,3377,3113,3162,3213,3372,3206,3224,3409,3365,3591,3682,3360,3497,3152,3255,3200,3356,3255,3255,3415,3474,3463,3574,3525,3373,3137,3154,3203,3350,3246,3138,3317,3350,3462
ICELAND.INDPROD.THERMAL  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICELAND.INDPROD.NUCLEAR  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICELAND.INDPROD.HYDRO    ,1082,988,1079,1012,1043,1061,992,1011,1026,1040,1068,1108,1100,998,1083,997,1043,1011,999,1036,1021,1039,1010,1057,1058,1003,1038,963,1014,995,1015,1014,976,1036,1033,1080
ICELAND.INDPROD.GEOTHERM ,381,344,382,369,345,265,350,347,321,376,372,382,384,344,384,371,352,318,378,353,349,405,408,443,448,411,445,425,400,349,382,399,412,438,424,441
